User name,User Location,URL
Yuri Asian,Bay Area,http://www.nytimes.com/2016/01/13/us/politics/obama-state-of-the-union.html
whoiskevinjones,Denver,http://www.nytimes.com/2016/01/13/us/politics/obama-state-of-the-union.html
zoester,harlem,http://www.nytimes.com/2016/01/13/us/politics/obama-state-of-the-union.html
OutPastPuto,Texas,http://www.nytimes.com/2016/01/13/us/politics/obama-state-of-the-union.html
Deus02,Toronto,http://www.nytimes.com/2016/01/13/us/politics/obama-state-of-the-union.html
Sheldon Bunin,"Jackson Heights, NY",http://www.nytimes.com/2016/01/13/us/politics/obama-state-of-the-union.html
D'Alien,MHK,http://krugman.blogs.nytimes.com/2016/01/13/paul-ryan-dada/
pieceofcake,konstanz germany,http://www.nytimes.com/2016/01/14/world/middleeast/iran-navy-crew-release.html
W.A. Spitzer,Faywood,http://www.nytimes.com/2016/01/14/us/politics/ted-cruz-wall-street-loan-senate-bid-2012.html
Ann,California,http://www.nytimes.com/2016/01/14/us/politics/ted-cruz-wall-street-loan-senate-bid-2012.html
Emmanuel Goldstein,Oceania,http://www.nytimes.com/2016/01/14/us/politics/ted-cruz-wall-street-loan-senate-bid-2012.html
stu,freeman,http://www.nytimes.com/2016/01/14/us/politics/ted-cruz-wall-street-loan-senate-bid-2012.html
CAdVA,New England,http://www.nytimes.com/2016/01/14/us/politics/ted-cruz-wall-street-loan-senate-bid-2012.html
jim,virginia,http://www.nytimes.com/2016/01/14/us/politics/ted-cruz-wall-street-loan-senate-bid-2012.html
Kathleen,Honolulu,http://www.nytimes.com/2016/01/14/us/politics/ted-cruz-wall-street-loan-senate-bid-2012.html
scratchbaker,AZ unfortunately,http://www.nytimes.com/2016/01/14/us/politics/ted-cruz-wall-street-loan-senate-bid-2012.html
Jed Fish Gould,"Pasadena, Ca",http://artsbeat.blogs.nytimes.com/2016/01/11/share-david-bowie-memories/
Antonio Sempere,Mexico City,http://www.nytimes.com/2016/01/20/dining/hungry-city-taste-of-samarkand-uzbek-restaurant-queens.html
David,<br/>,http://wordplay.blogs.nytimes.com/2016/01/14/cab-supplier/
Kiki Rijkstra,Arizona,http://wordplay.blogs.nytimes.com/2016/01/14/cab-supplier/
Kiki Rijkstra,Arizona,http://www.nytimes.com/2016/01/15/opinion/campaign-stops/trump-and-cruz-set-an-ugly-nasty-tone.html
Query,West,http://www.nytimes.com/2016/01/15/us/a-push-to-make-harvard-free-also-questions-the-role-of-race-in-admissions.html
Ohana,"Bellevue, WA",http://www.nytimes.com/2016/01/15/us/a-push-to-make-harvard-free-also-questions-the-role-of-race-in-admissions.html
Helium,New England,http://www.nytimes.com/2016/01/15/us/a-push-to-make-harvard-free-also-questions-the-role-of-race-in-admissions.html
MyTwoCents,San Francisco,http://www.nytimes.com/2016/01/15/us/politics/republican-debate-taunts-quips-rivals-battle.html
"Don Shipp,",Homestead Florida,http://wordplay.blogs.nytimes.com/2016/01/14/cab-supplier/
Jo,<br/>,http://krugman.blogs.nytimes.com/2016/01/15/friday-night-music-lucius-born-again-teen/
Julio Huato,Brooklyn,http://www.nytimes.com/2016/01/19/health/ftcs-lumosity-penalty-doesnt-end-brain-training-debate.html
Bert Floryanzia,"Sanford, NC",http://www.nytimes.com/2016/01/19/health/ftcs-lumosity-penalty-doesnt-end-brain-training-debate.html
Lisa Evers,NYC,http://www.nytimes.com/2016/01/19/health/ftcs-lumosity-penalty-doesnt-end-brain-training-debate.html
Lisa Evers,NYC,http://www.nytimes.com/2016/01/16/us/politics/republicans-intensify-attacks-after-a-pitched-debate.html
Pete,New Jersey,http://www.nytimes.com/2016/01/16/us/politics/republicans-intensify-attacks-after-a-pitched-debate.html
Jay Savko,Baltimore,http://www.nytimes.com/2016/01/16/us/politics/republicans-intensify-attacks-after-a-pitched-debate.html
Sue Azia,"the villages, fl",http://www.nytimes.com/2016/01/16/us/politics/republicans-intensify-attacks-after-a-pitched-debate.html
Me,NYC,http://www.nytimes.com/2016/01/16/us/politics/republicans-intensify-attacks-after-a-pitched-debate.html
Ian Easson,Chilliwack BC Canada,http://www.nytimes.com/2016/01/16/us/politics/republicans-intensify-attacks-after-a-pitched-debate.html
Bridie,FL,http://www.nytimes.com/2016/01/17/us/politics/hillary-clinton-regrets-not-attacking-bernie-sanders-earlier-her-allies-say.html
Dave K,"Cleveland, OH",http://www.nytimes.com/2016/01/13/magazine/how-donald-trump-redeemed-nikki-haley.html
Historian,"Aggieland, TX",http://www.nytimes.com/2016/01/13/magazine/how-donald-trump-redeemed-nikki-haley.html
Robby,Utah,http://www.nytimes.com/2016/01/17/opinion/sunday/some-inconvenient-gun-facts-for-liberals.html
RM,Vermont,http://www.nytimes.com/2016/01/13/magazine/how-donald-trump-redeemed-nikki-haley.html
NASAH,USA,http://www.nytimes.com/2016/01/13/magazine/how-donald-trump-redeemed-nikki-haley.html
Stuart Levine,"Baltimore, Maryland",http://www.nytimes.com/2016/01/17/magazine/how-to-take-your-baby-to-work.html
Gary,Oslo,http://www.nytimes.com/2016/01/17/magazine/how-to-take-your-baby-to-work.html
tiddle,"nyc, ny",http://www.nytimes.com/2016/01/17/magazine/how-to-take-your-baby-to-work.html
Name Witheld,Usa,http://www.nytimes.com/2016/01/17/magazine/how-to-take-your-baby-to-work.html
Orlinda Wirth,<br/>,http://wordplay.blogs.nytimes.com/2016/01/16/variety-cryptic-crossword-12/
Abigail Johnston,San Francisco,http://kristof.blogs.nytimes.com/2016/01/17/my-take-on-the-democratic-presidential-debate/
Anetliner Netliner,<br/>,http://www.nytimes.com/2016/01/18/sports/football/carolina-panthers-defeat-seattle-seahawks-nfc-nfl-playoffs.html
John,Port of Spain,http://www.nytimes.com/2016/01/18/sports/football/carolina-panthers-defeat-seattle-seahawks-nfc-nfl-playoffs.html
John,Port of Spain,http://www.nytimes.com/2016/01/18/sports/football/carolina-panthers-defeat-seattle-seahawks-nfc-nfl-playoffs.html
thegoodeg,"Asheville, NC",http://www.nytimes.com/2016/01/18/sports/football/carolina-panthers-defeat-seattle-seahawks-nfc-nfl-playoffs.html
JT NC,"Charlotte, North Carolina",http://www.nytimes.com/2016/01/18/sports/football/carolina-panthers-defeat-seattle-seahawks-nfc-nfl-playoffs.html
Chester Prudhomme,Port Townsend,http://www.nytimes.com/2016/01/18/sports/football/carolina-panthers-defeat-seattle-seahawks-nfc-nfl-playoffs.html
Chirico,"Chapel Hill, NC",http://cooking.nytimes.com/recipes/1017724
Garrett,<br/>,http://www.nytimes.com/2016/01/18/sports/football/carolina-panthers-defeat-seattle-seahawks-nfc-nfl-playoffs.html
stu,freeman,http://cooking.nytimes.com/recipes/1016036
Lorena,<br/>,http://cooking.nytimes.com/recipes/1017426
wallaby,<br/>,http://www.nytimes.com/2016/01/19/opinion/talk-to-tehran-but-talk-tough.html
stu,freeman,http://krugman.blogs.nytimes.com/2016/01/18/health-reform-is-hard/
Pierce Randall,"Atlanta, GA",http://www.nytimes.com/2016/01/19/opinion/talk-to-tehran-but-talk-tough.html
trk,"plano,tx",http://cooking.nytimes.com/recipes/1014674
Andrea,<br/>,http://www.nytimes.com/2016/01/19/opinion/talk-to-tehran-but-talk-tough.html
stu,freeman,http://cooking.nytimes.com/recipes/1014674
Andrea,<br/>,http://wordplay.blogs.nytimes.com/2016/01/18/classic-out-of-office-sign/
Kiki Rijkstra,Arizona,http://wordplay.blogs.nytimes.com/2016/01/18/classic-out-of-office-sign/
Sharon,<br/>,http://wordplay.blogs.nytimes.com/2016/01/01/mass-master/
Alan J,"Durham, NC",http://cooking.nytimes.com/recipes/1015825
Stephanie,<br/>,http://www.nytimes.com/2016/01/03/nyregion/raccoons-invade-brooklyn.html
stu,freeman,http://www.nytimes.com/2016/01/01/opinion/privilege-pathology-and-power.html
Joseph Brenner,"San Francisco, CA",http://cooking.nytimes.com/recipes/1017894
Jacqueline,<br/>,http://www.nytimes.com/2015/12/29/upshot/why-preventing-cancer-is-not-the-priority-in-drug-development.html
C.H.,"Los Altos, California",http://www.nytimes.com/2016/01/02/opinion/a-smarterplan-to-make-retirement-savings-last.html
workerbee,Florida,http://wordplay.blogs.nytimes.com/2016/01/01/mass-master/
John,Chicago,http://cooking.nytimes.com/recipes/1017901
Shenry,<br/>,http://www.nytimes.com/2016/01/02/opinion/a-smarterplan-to-make-retirement-savings-last.html
Gus,Hell's Kitchen,http://wordplay.blogs.nytimes.com/2016/01/16/variety-cryptic-crossword-12/
Kevin,Essex NY,http://www.nytimes.com/2016/01/20/us/politics/supreme-court-to-hear-challenge-to-obama-immigration-actions.html
FSMLives!,NYC,http://www.nytimes.com/2016/01/20/us/politics/supreme-court-to-hear-challenge-to-obama-immigration-actions.html
Kurfco,California,http://www.nytimes.com/2016/01/20/us/politics/supreme-court-to-hear-challenge-to-obama-immigration-actions.html
Tired of Hypocrisy,USA,http://www.nytimes.com/2016/01/20/us/politics/supreme-court-to-hear-challenge-to-obama-immigration-actions.html
Gus,Hell's Kitchen,http://www.nytimes.com/2016/01/20/us/politics/supreme-court-to-hear-challenge-to-obama-immigration-actions.html
Realist,New York,http://www.nytimes.com/2016/01/20/us/politics/supreme-court-to-hear-challenge-to-obama-immigration-actions.html
Gus,Hell's Kitchen,http://www.nytimes.com/2016/01/20/us/politics/supreme-court-to-hear-challenge-to-obama-immigration-actions.html
Obedfloresmx,"Monterrey, México",http://opinionator.blogs.nytimes.com/2016/01/19/you-are-stronger-than-you-think/
Ann,California,http://www.nytimes.com/2016/01/20/us/politics/donald-trump-sarah-palin.html
Dave,Westwood,http://www.nytimes.com/2016/01/21/us/flint-michigan-lead-water-crisis.html
cl,vermont,http://www.nytimes.com/2016/01/21/us/flint-michigan-lead-water-crisis.html
Dracula,Uruguay,http://www.nytimes.com/2016/01/21/us/flint-michigan-lead-water-crisis.html
Vicki,<br/>,http://www.nytimes.com/2016/01/21/us/flint-michigan-lead-water-crisis.html
Raindrop,<br/>,http://www.nytimes.com/2016/01/21/us/flint-michigan-lead-water-crisis.html
kilika,chicago,http://www.nytimes.com/2016/01/21/us/flint-michigan-lead-water-crisis.html
jeito,Colorado,http://www.nytimes.com/2016/01/21/us/flint-michigan-lead-water-crisis.html
Joseph Zhou,"Ottawa, Canada",http://www.nytimes.com/2016/01/21/us/flint-michigan-lead-water-crisis.html
Dracula,Uruguay,http://www.nytimes.com/2016/01/21/us/flint-michigan-lead-water-crisis.html
lou andrews,portland oregon,http://www.nytimes.com/2016/01/21/us/flint-michigan-lead-water-crisis.html
David Rosen,"Oakland, CA",http://www.nytimes.com/2016/01/22/business/energy-environment/this-time-cheaper-oil-does-little-for-the-us-economy.html
David L. Smith,Nevada,http://www.nytimes.com/2016/01/22/business/energy-environment/this-time-cheaper-oil-does-little-for-the-us-economy.html
Charles,NYC,http://www.nytimes.com/2016/01/22/business/energy-environment/this-time-cheaper-oil-does-little-for-the-us-economy.html
Robert,Syracuse,http://www.nytimes.com/2016/01/22/business/energy-environment/this-time-cheaper-oil-does-little-for-the-us-economy.html
MDCooks8,West of the Hudson,http://www.nytimes.com/2016/01/22/business/energy-environment/this-time-cheaper-oil-does-little-for-the-us-economy.html
Blackpoodles,Santa Barbara,http://www.nytimes.com/2016/01/22/business/energy-environment/this-time-cheaper-oil-does-little-for-the-us-economy.html
P2,NY,http://www.nytimes.com/2016/01/22/business/energy-environment/this-time-cheaper-oil-does-little-for-the-us-economy.html
sb,"san jose, ca",http://www.nytimes.com/2016/01/22/business/energy-environment/this-time-cheaper-oil-does-little-for-the-us-economy.html
"JMFulton, Jr.",England,http://www.nytimes.com/2016/01/22/business/energy-environment/this-time-cheaper-oil-does-little-for-the-us-economy.html
Jeff,"Chicago, IL",http://www.nytimes.com/2016/01/22/business/energy-environment/this-time-cheaper-oil-does-little-for-the-us-economy.html
Ferdinand,New York,http://www.nytimes.com/2016/01/23/us/blizzard-east-coast.html
AC,New York,http://www.nytimes.com/2016/01/23/us/politics/donald-trump-new-hampshire-voters.html
pauli emptio,OR,http://www.nytimes.com/2016/01/24/realestate/home-staging-new-york.html
sfdphd,San Francisco,http://www.nytimes.com/2016/01/23/opinion/in-case-of-blizzard-do-nothing.html
Richard Luettgen,New Jersey,http://www.nytimes.com/2016/01/23/us/politics/donald-trump-new-hampshire-voters.html
VCL,DC,http://www.nytimes.com/2016/01/23/us/politics/donald-trump-new-hampshire-voters.html
Concerned Citizen,Anywheresville,http://www.nytimes.com/2016/01/22/upshot/sanders-makes-a-rare-pitch-more-taxes-for-more-government.html
Nanette,"Easthampton, MA",http://www.nytimes.com/2016/01/23/us/politics/donald-trump-new-hampshire-voters.html
Concerned Citizen,Anywheresville,http://www.nytimes.com/2016/01/23/us/politics/donald-trump-new-hampshire-voters.html
Concerned Citizen,Anywheresville,http://www.nytimes.com/2016/01/23/opinion/coming-to-terms-with-donald.html
oneofthefew,new jersey,http://www.nytimes.com/2016/01/24/opinion/the-oscars-and-hollywoods-race-problem.html
MB,MA,http://www.nytimes.com/2016/01/24/opinion/the-oscars-and-hollywoods-race-problem.html
bill t,Va,http://www.nytimes.com/2016/01/24/opinion/the-oscars-and-hollywoods-race-problem.html
jscoop,Manhattan,http://www.nytimes.com/2016/01/24/opinion/the-oscars-and-hollywoods-race-problem.html
de Rigueur,here today,http://www.nytimes.com/2016/01/24/opinion/the-oscars-and-hollywoods-race-problem.html
William Case,Texas,http://www.nytimes.com/2016/01/24/opinion/the-oscars-and-hollywoods-race-problem.html
Jesse The Conservative,"Orleans, Vermont",http://www.nytimes.com/2016/01/24/opinion/the-oscars-and-hollywoods-race-problem.html
mtrav16,"Asbury Park, NJ",http://www.nytimes.com/2016/01/24/opinion/the-oscars-and-hollywoods-race-problem.html
mtrav16,"Asbury Park, NJ",http://www.nytimes.com/2016/01/24/opinion/the-oscars-and-hollywoods-race-problem.html
peaceful poetess,NY,http://www.nytimes.com/2016/01/24/opinion/the-oscars-and-hollywoods-race-problem.html
Beth,<br/>,http://parenting.blogs.nytimes.com/2016/01/24/loving-a-grandpa-right-down-to-his-toes/
Joshua Schwartz,Ramat-Gan,http://krugman.blogs.nytimes.com/2016/01/23/how-to-make-donald-trump-president/
Tim Kane,"Mesa, Az",http://cooking.nytimes.com/recipes/1017938
chris@christophercory.com,<br/>,http://krugman.blogs.nytimes.com/2016/01/23/how-to-make-donald-trump-president/
Hyperbole Diffuser,Kansas,http://krugman.blogs.nytimes.com/2016/01/23/how-to-make-donald-trump-president/
Hyperbole Diffuser,Kansas,http://www.nytimes.com/2016/01/25/sports/football/afc-championship-denver-broncos-new-england-patriots-super-bowl.html
P. Cleary,"Framingham, MA",http://www.nytimes.com/2016/01/25/sports/football/afc-championship-denver-broncos-new-england-patriots-super-bowl.html
liz,new england,http://www.nytimes.com/2016/01/25/sports/football/afc-championship-denver-broncos-new-england-patriots-super-bowl.html
NM,NY,http://www.nytimes.com/2016/01/25/sports/football/afc-championship-denver-broncos-new-england-patriots-super-bowl.html
Beatrice,'Sconset,http://www.nytimes.com/2016/01/25/sports/football/afc-championship-denver-broncos-new-england-patriots-super-bowl.html
slsalta,Hoboken,http://www.nytimes.com/2016/01/26/us/2-abortion-foes-behind-planned-parenthood-videos-are-indicted.html
John,"Napa, Ca",http://www.nytimes.com/2016/01/26/us/2-abortion-foes-behind-planned-parenthood-videos-are-indicted.html
JAH,SF Bay Area,http://www.nytimes.com/2016/01/26/us/2-abortion-foes-behind-planned-parenthood-videos-are-indicted.html
Jesse Bariel,Tacoma,http://www.nytimes.com/2016/01/26/us/2-abortion-foes-behind-planned-parenthood-videos-are-indicted.html
Tom Burka,"NY, NY",http://www.nytimes.com/2016/01/26/us/2-abortion-foes-behind-planned-parenthood-videos-are-indicted.html
AC,Minneapolis,http://www.nytimes.com/2016/01/26/us/2-abortion-foes-behind-planned-parenthood-videos-are-indicted.html
Kay Johnson,Colorado,http://www.nytimes.com/2016/01/26/us/2-abortion-foes-behind-planned-parenthood-videos-are-indicted.html
Deborah,"Montclair, NJ",http://www.nytimes.com/2016/01/26/us/2-abortion-foes-behind-planned-parenthood-videos-are-indicted.html
Rich Crank,"Lawrence, KS",http://www.nytimes.com/2016/01/26/us/2-abortion-foes-behind-planned-parenthood-videos-are-indicted.html
scrim1,"Bowie, Maryland",http://www.nytimes.com/2016/01/26/us/2-abortion-foes-behind-planned-parenthood-videos-are-indicted.html
John,Chicago,http://www.nytimes.com/2016/01/27/us/politics/trump-feud-megyn-kelly-fox-debate.html
NYer,New York,http://www.nytimes.com/2016/01/27/us/politics/trump-feud-fox-debate.html
NYer,New York,http://www.nytimes.com/2016/01/27/us/politics/trump-feud-megyn-kelly-fox-debate.html
RB,London,http://www.nytimes.com/2016/01/27/us/politics/trump-feud-fox-debate.html
RB,London,http://www.nytimes.com/2016/01/27/us/politics/trump-feud-megyn-kelly-fox-debate.html
Nick Metrowsky,"Longmont, Colorado",http://www.nytimes.com/2016/01/27/us/politics/trump-feud-fox-debate.html
Nick Metrowsky,"Longmont, Colorado",http://www.nytimes.com/2016/01/27/us/politics/trump-feud-megyn-kelly-fox-debate.html
"Don Shipp,",Homestead Florida,http://www.nytimes.com/2016/01/27/us/politics/trump-feud-fox-debate.html
"Don Shipp,",Homestead Florida,http://www.nytimes.com/2016/01/27/us/politics/trump-feud-megyn-kelly-fox-debate.html
NM,NY,http://www.nytimes.com/2016/01/27/us/politics/trump-feud-fox-debate.html
tew,Los Angeles,http://www.nytimes.com/2016/01/28/us/politics/with-no-detente-donald-trumps-feud-with-fox-takes-center-stage.html
EV,"Providence, R.I.",http://www.nytimes.com/2016/01/28/us/politics/with-no-detente-donald-trumps-feud-with-fox-takes-center-stage.html
Harry Pearle,"Rochester, NY",http://www.nytimes.com/2016/01/28/us/politics/with-no-detente-donald-trumps-feud-with-fox-takes-center-stage.html
Bismarck,North Dakota,http://www.nytimes.com/2016/01/28/us/politics/with-no-detente-donald-trumps-feud-with-fox-takes-center-stage.html
Allan Freedatlast,NV,http://www.nytimes.com/2016/01/28/us/politics/with-no-detente-donald-trumps-feud-with-fox-takes-center-stage.html
AJBF,NYC,http://www.nytimes.com/2016/01/28/us/politics/with-no-detente-donald-trumps-feud-with-fox-takes-center-stage.html
Bob Z,"Portland, ME",http://www.nytimes.com/2016/01/28/us/politics/with-no-detente-donald-trumps-feud-with-fox-takes-center-stage.html
Bhaskar,"Dallas, TX",http://www.nytimes.com/2016/01/28/us/politics/with-no-detente-donald-trumps-feud-with-fox-takes-center-stage.html
jwp-nyc,new york,http://www.nytimes.com/2016/01/28/us/politics/with-no-detente-donald-trumps-feud-with-fox-takes-center-stage.html
John W Lusk,"Danbury, Ct",http://www.nytimes.com/2016/01/28/us/politics/with-no-detente-donald-trumps-feud-with-fox-takes-center-stage.html
Billy,Tennessee,http://www.nytimes.com/2016/01/29/us/making-a-murderer-town-netflix-steven-avery.html
Billy,Tennessee,http://www.nytimes.com/2016/01/29/us/politics/republican-debate.html
Susan Anderson,Boston,http://www.nytimes.com/2016/01/29/us/politics/republican-debate.html
Jesse Marioneaux,Port Neches,http://www.nytimes.com/2016/01/29/us/politics/republican-debate.html
kafantaris,USA,http://www.nytimes.com/2016/01/29/us/politics/republican-debate.html
j.r.,lorain,http://www.nytimes.com/2016/01/29/us/oregon-standoff.html
Mark,"Berkeley, CA",http://www.nytimes.com/2016/01/29/us/oregon-standoff.html
Bill,OztheLand,http://www.nytimes.com/2016/01/29/us/oregon-standoff.html
gary misch,"syria, virginia",http://www.nytimes.com/2016/01/29/us/politics/republican-debate.html
AC,Minneapolis,http://www.nytimes.com/2016/01/29/us/politics/republican-debate.html
david,ny,http://www.nytimes.com/2016/01/03/opinion/sunday/confessions-of-a-columnist.html
Paul '52,NYC,http://www.nytimes.com/2016/01/03/business/media/sheldon-adelsonspurchase-of-las-vegas-paper-seen-as-a-power-play.html
Mark Lebow,"Milwaukee, WI",http://cooking.nytimes.com/recipes/1017906
PSchink,<br/>,http://cooking.nytimes.com/recipes/1017830
Mollie,<br/>,http://www.nytimes.com/2016/01/03/opinion/sunday/is-the-drive-for-success-making-our-children-sick.html
Linda,Kew Gardens,http://www.nytimes.com/2016/01/02/business/economy/over-50-female-and-jobless-even-as-others-return-to-work.html
Ian MacFarlane,Philadelphia PA,http://www.nytimes.com/2016/01/02/business/economy/over-50-female-and-jobless-even-as-others-return-to-work.html
Harper,WDC,http://wordplay.blogs.nytimes.com/2016/01/02/record-of-the-year/
Robert,"Vancouver, Canada",http://www.nytimes.com/2016/01/02/business/economy/over-50-female-and-jobless-even-as-others-return-to-work.html
Furiesego,Phoenix,http://www.nytimes.com/2016/01/02/business/economy/over-50-female-and-jobless-even-as-others-return-to-work.html
rprp2,<br/>,http://krugman.blogs.nytimes.com/2016/01/29/my-classified-life/
Woof,NY,http://www.nytimes.com/2016/01/31/opinion/sunday/zika-mosquitoes-and-the-plagues-to-come.html
W.A. Spitzer,Faywood,http://cooking.nytimes.com/recipes/1016816
rprp2,<br/>,http://www.nytimes.com/2016/01/31/opinion/campaign-stops/why-dont-boomer-women-like-hillary-clinton.html
Jeanne,New York,http://wordplay.blogs.nytimes.com/2016/01/29/parenthetical-figures/
John,Chicago,http://www.nytimes.com/2016/01/30/technology/facebook-gun-sales-ban.html
Ann,California,http://www.nytimes.com/2016/01/30/business/donald-trump-unions.html
W,"Houston, TX",http://www.nytimes.com/2016/01/30/business/donald-trump-unions.html
SDCook,<br/>,http://www.nytimes.com/2016/01/30/business/donald-trump-unions.html
